ID,requestType_code,requestVariant_code,stepNo,stepName,activityDescription,processorTeam_ID,roleCode,taskName,isApproval,isMandatory,slaDays,isActive
40000000-0000-4000-8000-000000000001,MATERIAL_CODE,MAT_ENG_IT,1,Request Details,Provide or correct the engineering or IT material details,20000000-0000-4000-8000-000000000001,REQUESTER,Complete material details,false,true,2,true
40000000-0000-4000-8000-000000000002,MATERIAL_CODE,MAT_ENG_IT,2,G/L Account Enrichment,Finance provides the G/L account for a new non-referenced code,20000000-0000-4000-8000-000000000002,FINANCE,Provide G/L account,false,true,2,true
40000000-0000-4000-8000-000000000003,MATERIAL_CODE,MAT_ENG_IT,3,Valuation Class,The SAP master-data team provides the valuation class,20000000-0000-4000-8000-000000000003,SAP_MASTER,Provide valuation class,false,true,2,true
40000000-0000-4000-8000-000000000004,MATERIAL_CODE,MAT_ENG_IT,4,S/4 Data Validation,Validate and create or modify the material in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Validate material in S/4,true,true,3,true
40000000-0000-4000-8000-000000000005,MATERIAL_CODE,MAT_ADMIN_CONS,1,Request Details,Provide or correct the admin and consumable material details,20000000-0000-4000-8000-000000000001,REQUESTER,Complete material details,false,true,2,true
40000000-0000-4000-8000-000000000006,MATERIAL_CODE,MAT_ADMIN_CONS,2,G/L Account Enrichment,Finance provides the G/L account for a new non-referenced code,20000000-0000-4000-8000-000000000002,FINANCE,Provide G/L account,false,true,2,true
40000000-0000-4000-8000-000000000007,MATERIAL_CODE,MAT_ADMIN_CONS,3,Valuation Class,The SAP master-data team provides the valuation class,20000000-0000-4000-8000-000000000003,SAP_MASTER,Provide valuation class,false,true,2,true
40000000-0000-4000-8000-000000000008,MATERIAL_CODE,MAT_ADMIN_CONS,4,S/4 Data Validation,Validate and create or modify the material in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Validate material in S/4,true,true,3,true
40000000-0000-4000-8000-000000000009,MATERIAL_CODE,MAT_ZTRD_NEW,1,Trading Material Details,Provide the new ZTRD material and reference decision,20000000-0000-4000-8000-000000000001,REQUESTER,Complete trading material details,false,true,2,true
40000000-0000-4000-8000-000000000010,MATERIAL_CODE,MAT_ZTRD_NEW,2,DMS Details,Provide the required DMS information,20000000-0000-4000-8000-000000000001,REQUESTER,Complete DMS details,false,true,2,true
40000000-0000-4000-8000-000000000011,MATERIAL_CODE,MAT_ZTRD_NEW,3,G/L Account Enrichment,Finance provides the G/L account,20000000-0000-4000-8000-000000000002,FINANCE,Provide G/L account,false,true,2,true
40000000-0000-4000-8000-000000000012,MATERIAL_CODE,MAT_ZTRD_NEW,4,Valuation Class,The SAP master-data team provides the valuation class,20000000-0000-4000-8000-000000000003,SAP_MASTER,Provide valuation class,false,true,2,true
40000000-0000-4000-8000-000000000013,MATERIAL_CODE,MAT_ZTRD_NEW,5,S/4 Data Validation,Validate and create the trading material in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Validate trading material,true,true,3,true
40000000-0000-4000-8000-000000000014,MATERIAL_CODE,MAT_ZTRD_EXISTING,1,Change Selection,Select Change Extension or DMS Update and provide the existing code,20000000-0000-4000-8000-000000000001,REQUESTER,Provide change details,false,true,2,true
40000000-0000-4000-8000-000000000015,MATERIAL_CODE,MAT_ZTRD_EXISTING,2,DMS Update,Provide DMS details when the selected change requires them,20000000-0000-4000-8000-000000000001,REQUESTER,Update DMS details,false,false,2,true
40000000-0000-4000-8000-000000000016,MATERIAL_CODE,MAT_ZTRD_EXISTING,3,S/4 Data Validation,Validate and update the trading material in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Validate material change,true,true,3,true
41000000-0000-4000-8000-000000000001,SERVICE_CODE,SVC_NEW,1,Service Details,Provide the new service code details,20000000-0000-4000-8000-000000000001,REQUESTER,Complete service details,false,true,2,true
41000000-0000-4000-8000-000000000002,SERVICE_CODE,SVC_NEW,2,G/L Account Enrichment,Finance provides the G/L account,20000000-0000-4000-8000-000000000002,FINANCE,Provide G/L account,false,true,2,true
41000000-0000-4000-8000-000000000003,SERVICE_CODE,SVC_NEW,3,Valuation Class,The SAP master-data team provides the valuation class,20000000-0000-4000-8000-000000000003,SAP_MASTER,Provide valuation class,false,true,2,true
41000000-0000-4000-8000-000000000004,SERVICE_CODE,SVC_NEW,4,S/4 Data Validation,Validate and create the service code in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Validate service code,true,true,3,true
41000000-0000-4000-8000-000000000005,SERVICE_CODE,SVC_EXISTING,1,Modification Details,Provide the existing service code and requested changes,20000000-0000-4000-8000-000000000001,REQUESTER,Complete modification details,false,true,2,true
41000000-0000-4000-8000-000000000006,SERVICE_CODE,SVC_EXISTING,2,S/4 Data Validation,Validate and modify the service code in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Validate service modification,true,true,3,true
42000000-0000-4000-8000-000000000001,EQUIPMENT_CODE,EQP_NEW,1,Equipment Details,Provide site material serial WBS and commissioning details,20000000-0000-4000-8000-000000000001,REQUESTER,Complete equipment details,false,true,2,true
42000000-0000-4000-8000-000000000002,EQUIPMENT_CODE,EQP_NEW,2,S/4 Data Validation,Validate and create the equipment code in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Validate equipment,true,true,3,true
42000000-0000-4000-8000-000000000003,EQUIPMENT_CODE,EQP_EXISTING,1,Equipment Change Details,Provide the existing equipment and requested changes,20000000-0000-4000-8000-000000000001,REQUESTER,Complete equipment change,false,true,2,true
42000000-0000-4000-8000-000000000004,EQUIPMENT_CODE,EQP_EXISTING,2,Selected Approval,The requestor-selected approver reviews the equipment change,20000000-0000-4000-8000-000000000001,APPROVER,Approve equipment change,true,true,2,true
42000000-0000-4000-8000-000000000005,EQUIPMENT_CODE,EQP_EXISTING,3,S/4 Data Validation,Validate and update the equipment code in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Validate equipment change,true,true,3,true
43000000-0000-4000-8000-000000000001,PROJECT_CODE,PROJECT_NEW_MOD,1,Project Details,Provide new or modification project details,20000000-0000-4000-8000-000000000001,REQUESTER,Complete project details,false,true,2,true
43000000-0000-4000-8000-000000000002,PROJECT_CODE,PROJECT_NEW_MOD,2,S/4 Data Validation,Validate and create or modify the project code,20000000-0000-4000-8000-000000000004,INFOMATE,Validate project code,true,true,3,true
43000000-0000-4000-8000-000000000003,PROJECT_CODE,PROJECT_FL_ACTIVITY,1,Function Location or Activity,Select and provide function-location or activity information,20000000-0000-4000-8000-000000000001,REQUESTER,Complete FL or activity details,false,true,2,true
43000000-0000-4000-8000-000000000004,PROJECT_CODE,PROJECT_FL_ACTIVITY,2,S/4 Data Validation,Validate and create the function-location or activity,20000000-0000-4000-8000-000000000004,INFOMATE,Validate project object,true,true,3,true
44000000-0000-4000-8000-000000000001,MATERIAL_RESERVATION,RES_DIRECT,1,Reservation Details,Provide direct-delivery reservation and line-item details,20000000-0000-4000-8000-000000000001,REQUESTER,Complete reservation details,false,true,2,true
44000000-0000-4000-8000-000000000002,MATERIAL_RESERVATION,RES_DIRECT,2,Goods Receipt,Perform GRN for direct-delivery materials,20000000-0000-4000-8000-000000000006,WAREHOUSE,Perform goods receipt,false,true,2,true
44000000-0000-4000-8000-000000000003,MATERIAL_RESERVATION,RES_DIRECT,3,S/4 Material Reservation,Create the material reservation in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Create material reservation,true,true,3,true
44000000-0000-4000-8000-000000000004,MATERIAL_RESERVATION,RES_DIRECT,4,Material Issuance,Issue the reserved material,20000000-0000-4000-8000-000000000006,WAREHOUSE,Issue material,true,true,2,true
44000000-0000-4000-8000-000000000005,MATERIAL_RESERVATION,RES_WAREHOUSE,1,Reservation Details,Provide warehouse reservation and line-item details,20000000-0000-4000-8000-000000000001,REQUESTER,Complete reservation details,false,true,2,true
44000000-0000-4000-8000-000000000006,MATERIAL_RESERVATION,RES_WAREHOUSE,2,Vendor Allocation,Allocate the vendor for warehouse materials,20000000-0000-4000-8000-000000000001,REQUESTER,Allocate vendor,false,true,2,true
44000000-0000-4000-8000-000000000007,MATERIAL_RESERVATION,RES_WAREHOUSE,3,S/4 Material Reservation,Create the material reservation in S/4HANA,20000000-0000-4000-8000-000000000004,INFOMATE,Create material reservation,true,true,3,true
44000000-0000-4000-8000-000000000008,MATERIAL_RESERVATION,RES_WAREHOUSE,4,Material Issuance,Issue the reserved material,20000000-0000-4000-8000-000000000006,WAREHOUSE,Issue material,true,true,2,true
45000000-0000-4000-8000-000000000001,OUTLINE_CONTRACT,CONTRACT_NEW,1,Contract Details,Provide the new outline contract details and approvals,20000000-0000-4000-8000-000000000001,REQUESTER,Complete contract details,false,true,2,true
45000000-0000-4000-8000-000000000002,OUTLINE_CONTRACT,CONTRACT_NEW,2,S/4 Data Validation,Validate and create the outline contract,20000000-0000-4000-8000-000000000004,INFOMATE,Create outline contract,true,true,3,true
45000000-0000-4000-8000-000000000003,OUTLINE_CONTRACT,CONTRACT_NEW,3,SCM Approval,Approve the created outline contract,20000000-0000-4000-8000-000000000005,SCM,Approve outline contract,true,true,2,true
45000000-0000-4000-8000-000000000004,OUTLINE_CONTRACT,CONTRACT_NEW,4,Notify Requestor,Confirm completion to the requestor,20000000-0000-4000-8000-000000000001,REQUESTER,Acknowledge completion,false,false,1,true
45000000-0000-4000-8000-000000000005,OUTLINE_CONTRACT,CONTRACT_MOD,1,Amendment Details,Select contracts and provide the amendment details,20000000-0000-4000-8000-000000000001,REQUESTER,Complete amendment details,false,true,2,true
45000000-0000-4000-8000-000000000006,OUTLINE_CONTRACT,CONTRACT_MOD,2,Revoke Existing Contract,SCM revokes the existing outline contract,20000000-0000-4000-8000-000000000005,SCM,Revoke existing contract,true,true,2,true
